miasto,n,mediana,srednia
TRZEMIĘTÓWKO,1,645600.0,645600.0
TURLEJEWO,1,100000.0,100000.0
TURZANY,1,320000.0,320000.0
BUDYŃ,1,101500.0,101500.0
TEKLANOWO,1,40000.0,40000.0
TEOLOG,1,82118.01,82118.01
TONOWO,1,120000.0,120000.0
MAŁA KOMORZA,1,140000.0,140000.0
UGODA,1,169000.0,169000.0
USTASZEWO,1,115000.0,115000.0
BRODY,1,35000.0,35000.0
BRUDNIA,1,400000.0,400000.0
BRUKI UNISŁAWSKIE,1,775000.0,775000.0
BRUKNIEWO,1,300000.0,300000.0
GOSTOMKA,1,100000.0,100000.0
KASPROWO,1,105000.0,105000.0
MIEROGONIEWICE,1,760000.0,760000.0
TASZEWKO,1,310000.0,310000.0
TASZEWSKIE POLE,1,250000.0,250000.0
BRZOZOWE BŁOTA,1,77000.0,77000.0
BRZUCHOWO,1,40000.0,40000.0
BRZÓZKI,1,219000.0,219000.0
SŁUCHAJ,1,4950.0,4950.0
SŁUPÓWKO,1,270000.0,270000.0
TARGOWNICA,1,165000.0,165000.0
GÓRNE MORGI,1,70000.0,70000.0
KAMLARKI,1,42500.0,42500.0
GULCZEWO,1,440000.0,440000.0
WALENTYNOWO,1,100000.0,100000.0
WASIELEWKO,1,215000.0,215000.0
LUDWICHOWO,1,80000.0,80000.0
LUDWINIEC,1,120000.0,120000.0
DZIENNICE,1,720000.0,720000.0
WERONIKA,1,100000.0,100000.0
MSZANO,1,250000.0,250000.0
SŁABOSZEWO,1,380000.0,380000.0
MILEWKO,1,13000.0,13000.0
MILEWO,1,8380.0,8380.0
MIROSŁAWICE,1,15000.0,15000.0
SUCHORĄCZEK,1,140000.0,140000.0
SUCHORĘCZEK,1,250000.0,250000.0
SULINOWO,1,65000.0,65000.0
DRĄŻONEK,1,80000.0,80000.0
WEŁPIN,1,650000.0,650000.0
WIELKA KĘPA,1,40000.0,40000.0
KAZIMIERZEWO,1,75000.0,75000.0
KICKO,1,140000.0,140000.0
KIEŁBASIN,1,130000.0,130000.0
LUBOCHEŃ,1,129000.0,129000.0
BYSTRZYCA,1,500000.0,500000.0
SUCHARZEWO,1,75000.0,75000.0
NOGAT,1,552500.0,552500.0
NOWA RUDA,1,355000.0,355000.0
DOBSKO,1,89794.09,89794.09
DOLNE MORGI,1,150000.0,150000.0
WIERZCHUCICE,1,225000.0,225000.0
WIESZKI,1,80000.0,80000.0
WIEWIÓRCZYN,1,220000.0,220000.0
LINÓWIEC,1,400000.0,400000.0
LIPIENKI,1,142000.0,142000.0
LISAK,1,20400.0,20400.0
OGRASZKA,1,135000.0,135000.0
JADWIŻYN,1,200000.0,200000.0
BUDZISŁAW,1,60500.0,60500.0
NOWA WIEŚ GM.CIECHOCIN,1,550000.0,550000.0
NOWE BŁONOWO,1,18760.0,18760.0
NOWE SMOLNO,1,115000.0,115000.0
NOWOGRÓDEK,1,100000.0,100000.0
STARY JARUŻYN,1,550000.0,550000.0
STEKLIN-KOLONIA,1,50000.0,50000.0
JURANCICE,1,70000.0,70000.0
JÓZEFAT,1,225000.0,225000.0
JÓZEFKOWO,1,575000.0,575000.0
JĘDRZEJEWO,1,150000.0,150000.0
BOGDANKI,1,20000.0,20000.0
BOGUSŁAWKI,1,160000.0,160000.0
BORKI,1,73000.0,73000.0
BOŻACIN,1,310000.0,310000.0
KĄPIE,1,141000.0,141000.0
LASKI WIELKIE,1,182500.0,182500.0
LESZYCE,1,80000.0,80000.0
CZERNIAK,1,450000.0,450000.0
SMARZYKOWO,1,130000.0,130000.0
SMOGORZEWIEC,1,145000.0,145000.0
OKONINEK,1,300000.0,300000.0
OLEK,1,739000.0,739000.0
OLSZA,1,85000.0,85000.0
OLSZEWICE,1,215000.0,215000.0
OPOROWO,1,70000.0,70000.0
OSADA OSOWA GÓRA,1,297000.0,297000.0
OSTATKOWO,1,333000.0,333000.0
WIŚNIEWA,1,70000.0,70000.0
GROCHOWIEC,1,140000.0,140000.0
DĘBINA,1,50000.0,50000.0
DĘBNO,1,97710.0,97710.0
DĘBOWIEC,1,440000.0,440000.0
KRĄG,1,280000.0,280000.0
KSIĄŻ,1,190000.0,190000.0
CHAŁUPSKA,1,450000.0,450000.0
SITOWIEC,1,540000.0,540000.0
OSTRÓWCE,1,320000.0,320000.0
OSÓWKA-KOLONIA,1,370000.0,370000.0
CZARNOTUL,1,330000.0,330000.0
KUCBOREK,1,170000.0,170000.0
GODZIĘBA,1,70000.0,70000.0
GONCARZEWY,1,80000.0,80000.0
WYCINKI,1,160000.0,160000.0
KLEPARY,1,57000.0,57000.0
FIJEWO,1,29000.0,29000.0
PAULINA,1,260000.0,260000.0
PERKOWO,1,404000.0,404000.0
SIEROSŁAWEK,1,200000.0,200000.0
DOBIESZEWICE,1,75000.0,75000.0
OŚNISZCZEWKO,1,45000.0,45000.0
PADNIEWO,1,154314.0,154314.0
RZEPOWO,1,220000.0,220000.0
RZYWNO,1,52200.0,52200.0
SARNOWO,1,235000.0,235000.0
PAROWA FALĘCKA,1,400000.0,400000.0
GOCANÓWKO,1,645000.0,645000.0
GOCZAŁKI,1,10000.0,10000.0
RYCERZEWO,1,295000.0,295000.0
PIECKI,1,25000.0,25000.0
PIOTROWO,1,180000.0,180000.0
GAPA,1,100000.0,100000.0
DĄBRÓWKA KUJAWSKA,1,320000.0,320000.0
WĘTFIE,1,100000.0,100000.0
WŁOSTOWO,1,168000.0,168000.0
ZAJĄCZKOWO,1,30000.0,30000.0
ROŻNIATY,1,150000.0,150000.0
RUDKI,1,190000.0,190000.0
POD KOMORZĄ,1,450000.36,450000.36
PODBOREK,1,360000.0,360000.0
JELEŃ,1,380000.0,380000.0
CHMIELEWO,1,350000.0,350000.0
CHOMIĄŻA KSIĘŻA,1,400000.0,400000.0
ROZSTRZAŁY,1,70000.0,70000.0
ROZSTRZĘBOWO,1,17400.0,17400.0
ROZTOKI,1,80000.0,80000.0
ZALESIE BARCIŃSKIE,1,600000.0,600000.0
ZALESIE KRÓLEWSKIE,1,169000.0,169000.0
ZARĘBA,1,750000.0,750000.0
BIELSKA STRUGA,1,730000.0,730000.0
KRUKÓWKO,1,730000.0,730000.0
KRUSZA PODLOTOWA,1,300000.0,300000.0
PRZYMUSZEWO,1,64000.0,64000.0
PRZYROWA,1,75000.0,75000.0
RADOŃSK,1,139000.0,139000.0
RADŁÓWEK,1,225000.0,225000.0
RECZ,1,465000.0,465000.0
REJNA,1,450000.0,450000.0
JANKOWICE,1,105000.0,105000.0
KRZYŻANNA,1,63000.0,63000.0
ZAWADA,1,280000.0,280000.0
ZIEMOWITY,1,12000.0,12000.0
KOLONIA LIPNICA,1,250000.0,250000.0
KOMRATOWO,1,45000.0,45000.0
KONICZYNKA,1,255000.0,255000.0
KOWALEWKO,1,300000.0,300000.0
KOWALSKIE BŁOTA,1,600000.0,600000.0
AMERYCZKA,1,120000.0,120000.0
PTUREK,1,211000.0,211000.0
PŁAWIN,1,90000.0,90000.0
RACICE,1,280000.0,280000.0
RADAŃSKA,1,90000.0,90000.0
PRUSKIE,1,551000.0,551000.0
PRZEDBÓRZ,1,45000.0,45000.0
PRZY SZOSIE SĘPOLEŃSKIEJ,1,790000.0,790000.0
ARTUROWO,1,170000.0,170000.0
BAJERZE,1,170000.0,170000.0
BALICE,1,180000.0,180000.0
BALIN,1,300000.0,300000.0
ŚWIERCZYNY,1,250000.0,250000.0
BIAŁA,1,470000.0,470000.0
BIAŁE BŁOTA LAS,1,11464.2,11464.2
BIAŁOTUL,1,180000.0,180000.0
BIECHOWO,1,120000.0,120000.0
ADAMOWO,1,130000.0,130000.0
