miasto,n,mediana,srednia
OBORY,18,423000.0,395222.22222222225
WĄWELNO,18,62503.885,148138.48722222223
WÓJCIN,18,206000.0,219416.66666666666
WROCŁAWKI,18,95000.0,106968.07944444445
WIELKA ŁĄKA,18,115000.0,178749.1211111111
JELENIEC,18,100000.0,170277.77777777778
BRUDZYŃ,18,185000.0,159500.0
KOBYLARNIA,18,548000.0,554046.2272222223
FRANCISZKOWO,18,135000.0,124522.22222222222
WIELKA NIESZAWKA,18,430000.0,377033.3333333333
RUNOWO KRAJEŃSKIE,18,135000.0,144622.22222222222
CHRZĄSTOWO,18,355000.0,352054.55555555556
LUBOSTROŃ,18,160000.0,172583.33333333334
ALEKSANDROWIEC,17,180000.0,248823.5294117647
ROGALIN,17,70000.0,137886.58823529413
SITNO,17,100000.0,130000.0
RUDA,17,400000.0,345889.9388235294
STORLUS,17,120000.0,118116.58823529411
MARKOWICE,17,135000.0,169588.23529411765
MAZOWSZE,17,100000.0,145923.5294117647
MOCHLE,17,495000.0,438248.0188235294
ROGÓŹNO ZAMEK,17,100000.0,95588.23529411765
STAJENCZYNKI,17,482000.0,443580.0
SĄSIECZNO,17,490000.0,452329.4117647059
DĄBROWA,17,156600.0,169370.58823529413
KOŁODZIEJEWO,17,230000.0,228098.29411764705
TRZECIEWIEC,17,210000.0,256029.41176470587
BRAMKA,17,90000.0,118176.4705882353
WISKITNO,17,90000.0,86250.0
WIELKIE RYCHNOWO,17,200000.0,270131.70470588235
BIELICE,17,120000.0,162970.58823529413
WĄSOSZ,17,360000.0,386000.0
GZIN,17,465000.0,350785.70588235295
OLIMPIN,16,537500.0,440623.8125
RADOMIN,16,247500.0,247205.295625
SOKOŁOWO,16,97500.0,139911.25
SARTOWICE,16,108000.0,127567.50625
RÓŻANKOWO,16,599000.0,499531.25
JACEWO,16,475000.0,424735.125
DRAGACZ,16,259500.0,298093.75
MINIKOWO,16,230000.0,221875.0
DĄBROWA BISKUPIA,16,200000.0,234375.0
KANIA,16,362500.0,354403.125
DZIKOWO,16,470000.0,461193.75
ŚLIWICE,16,295500.0,325812.5
KWIECISZEWO,16,210000.0,225750.0
KRĄPLEWICE,16,135000.0,140781.25
KROTOSZYN,16,177500.0,281000.0
PĘPERZYN,16,80000.0,81662.5
WIELKI KOMORSK,15,125000.0,151800.0
GÓRNE WYMIARY,15,165000.0,273133.3333333333
GRONOWO,15,179000.0,241600.0
GRZYWNA,15,215000.0,231708.33333333334
WIERZCHOSŁAWICE,15,135000.0,148800.0
MARKOWO,15,160000.0,179113.33333333334
SIENNO,15,221150.0,258650.66666666666
LUBIEWO,15,150000.0,181959.93333333332
STOBNO,15,130000.0,128800.0
SUCHATÓWKA,15,200000.0,247866.66666666666
OSIEK WIELKI,15,120000.0,139433.33333333334
JASTRZĘBIE,15,150000.0,140166.66666666666
SUKOWY,15,70000.0,154926.66666666666
POLANOWICE,15,120000.0,128180.0
MAŁE ŁĄKIE,15,529000.0,495266.6666666667
MAŁE RUDY,15,590000.0,549540.0
KORNATOWO,15,140000.0,116866.66666666667
LINOWO,15,100000.0,93683.33333333333
NAWRA,15,120000.0,151101.73333333334
SZUBIN WIEŚ,14,280000.0,324768.85714285716
SAMOSTRZEL,14,140312.5,204194.64285714287
ZAROŚLE CIENKIE,14,622000.0,428295.9285714286
WROCKI,14,110000.0,127500.0
GRUBNO,14,269000.0,218577.38142857142
TUSZYNY,14,180000.0,179071.42857142858
GŁUCHOWO,14,150500.0,162847.2357142857
ŻERNIKI,14,270000.0,234142.85714285713
ŁĄŻYN,14,516500.0,434464.35714285716
KORNELIN,14,299000.0,346500.0
KOŁACZKOWO,14,185000.0,229408.99500000002
LUCIM,14,140000.0,162357.14285714287
LUBCZ,14,92500.0,195154.7142857143
DROZDOWO,14,260000.0,312067.14285714284
FALĘCIN,14,155000.0,144214.2857142857
PIĄTKOWO,14,88500.0,90928.57142857143
STABLEWICE,14,150000.0,143928.57142857142
JARUŻYN,14,647500.0,561928.5714285715
PRZECZNO,14,47000.0,96392.85714285714
LEGBĄD,14,223500.0,250930.7142857143
MAŁY MĘDROMIERZ,14,405000.0,323321.4285714286
LIPINKI,14,180000.0,234654.68928571427
NOWY DWÓR KRÓLEWSKI,13,150000.0,215615.38461538462
NIEWIEŚCIN,13,105000.0,178197.53846153847
MŁYNY,13,27273.0,57933.230769230766
LESZCZE,13,205000.0,150769.23076923078
BLADOWO,13,168000.0,135461.53846153847
WIKTOROWO,13,310000.0,311384.6153846154
TURZNO,13,140000.0,193772.3076923077
TRZECIEWNICA,13,133000.0,185538.46153846153
GŁODOWO,13,338000.0,297884.6153846154
ZŁAWIEŚ WIELKA,13,350000.0,351238.46153846156
WIELKIE STWOLNO,13,235000.0,285538.46153846156
WYBRANOWO,13,300000.0,243326.92307692306
GAWRONIEC,13,130000.0,193000.0
GNIEWKÓWIEC,13,210000.0,299802.3846153846
SKARSZEWO,13,191050.0,347519.23076923075
PIASKI,13,120000.0,220923.07692307694
PYSZCZYN,13,100000.0,227923.07692307694
CZERNIKÓWKO,13,230000.0,264969.23076923075
JEZIORA WIELKIE,13,200000.0,206076.92307692306
DŹWIERZNO,12,38000.0,46672.916666666664
DZIEMIONNA,12,491000.0,506266.6666666667
KOPANINO,12,570000.0,566250.0
KRUPOCIN,12,250000.0,205583.33333333334
BRZYSKORZYSTEW,12,119000.0,128950.0
GÓRKI ZAGAJNE,12,100000.0,102628.75
TURZNICE,12,77500.0,131416.66666666666
BRATWIN,12,111000.0,141191.36250000002
TRZĘSACZ,12,82500.0,81744.62000000001
TLEŃ,12,307000.0,317186.5
WYLATOWO,12,101604.0,136225.6675
GORZEŃ,12,315000.0,358666.6666666667
WUDZYN,12,365000.0,339708.3333333333
